Number,Type,Name,Registration Point,Filename
1,filmLoop,africa_inter,"(210, 161)",
2,filmLoop,china_inter,"(209, 161)",
3,filmLoop,forest_inter,"(208, 161)",
4,script,endRound BG behavior,"(0, 0)",
5,script,StartRound BG behavior,"(0, 0)",
6,bitmap,Dialog_big,"(184, 110)",
7,text,round_head,"(0, 0)",
8,text,round_blurb,"(0, 0)",
9,script,end round display behavior,"(0, 0)",
10,script,play end round sound,"(0, 0)",
11,script,startRound Text Display Behavior,"(0, 0)",
12,script,playMessage sound,"(0, 0)",
13,transition,,"(0, 0)",
