Number,Type,Name,Registration Point,Filename
1,script,#main,"(0, 0)",
2,script,loop on frame,"(0, 0)",
3,script,#talk.face,"(0, 0)",
4,script,#sign.text,"(0, 0)",
5,script,#talk.text,"(0, 0)",
6,script,#sign.bkg,"(0, 0)",
7,script,#talk.bkg,"(0, 0)",
8,script,sound_manager,"(0, 0)",
9,script,enter.room,"(0, 0)",
10,script,reportID,"(0, 0)",
11,script,result.loop,"(0, 0)",
12,script,simple.loop,"(0, 0)",
13,script,ending.loop,"(0, 0)",
14,script,startGame behavior,"(0, 0)",
15,script,dilemma.loop,"(0, 0)",
16,script,wait while loading,"(0, 0)",
17,script,utilities,"(0, 0)",
18,script,sound object,"(0, 0)",
19,script,x.map,"(0, 0)",
20,script,x.player,"(0, 0)",
21,script,scooby behavior,"(0, 0)",
22,script,checkTheme/go to frame,"(0, 0)",
23,script,game logic,"(0, 0)",
24,script,loop on StartRound,"(0, 0)",
25,script,loop on endRound,"(0, 0)",
26,script,display correct flash frame,"(0, 0)",
27,script,go quiz,"(0, 0)",
28,script,go quiz behavior,"(0, 0)",
29,script,show ad for 10 seconds,"(0, 0)",
