Number,Type,Name,Registration Point,Filename
1,bitmap,player.normal.right.1,"(11, 16)",
2,bitmap,player.normal.right.2,"(10, 16)",
3,bitmap,player.normal.right.3,"(11, 16)",
4,bitmap,player.normal.right.4,"(10, 16)",
5,bitmap,player.normal.left.1,"(12, 16)",
6,bitmap,player.normal.left.2,"(10, 16)",
7,bitmap,player.normal.left.3,"(12, 16)",
8,bitmap,player.normal.left.4,"(10, 16)",
9,bitmap,player.normal.up.1,"(16, 16)",
10,bitmap,player.normal.up.2,"(15, 16)",
11,bitmap,player.normal.up.3,"(16, 16)",
12,bitmap,player.normal.up.4,"(15, 16)",
13,bitmap,player.normal.down.1,"(16, 16)",
14,bitmap,player.normal.down.2,"(15, 16)",
15,bitmap,player.normal.down.3,"(16, 16)",
16,bitmap,player.normal.down.4,"(15, 16)",
